珠光宝气	zhu guang bao qi
临阵磨枪	lin zhen mo qiang
风驰电掣	feng chi dian che
声如洪钟	sheng ru hong zhong
相敬如宾	xiang jing ru bin
一锤定音	yi chui ding yin
头破血流	tou po xue liu
不疾不徐	bu ji bu xu
尽善尽美	jin shan jin mei
悲天悯人	bei tian min ren
毫不犹豫	hao bu you yu
层次分明	ceng ci fen ming
察颜观色	cha yan guan se
咎由自取	jiu you zi qu
生生不息	sheng sheng bu xi
十恶不赦	shi e bu she
分庭抗礼	fen ting kang li
泰然自若	tai ran zi ruo
遗患无穷	yi huan wu qiong
严于律己	yan yu lu ji
蓬头垢面	peng tou gou mian
口干舌燥	kou gan she zao
正颜厉色	zheng yan li se
毫不相干	hao bu xiang gan
绝无仅有	jue wu jin you
粗制滥造	cu zhi lan zao
所作所为	suo zuo suo wei
弱不禁风	ruo bu jin feng
热火朝天	re huo chao tian
不可动摇	bu ke dong yao
敢作敢为	gan zuo gan wei
人心难测	ren xin nan ce
塞翁失马	sai weng shi ma
姹紫嫣红	cha zi yan hong
转弯抹角	zhuan wan mo jiao
逆耳忠言	ni er zhong yan
无情无义	wu qing wu yi
难上加难	nan shang jia nan
别有天地	bie you tian di
挺身而出	ting shen er chu
真心诚意	zhen xin cheng yi
不攻自破	bu gong zi po
夺门而出	duo men er chu
从善如流	cong shan ru liu
闻一知十	wen yi zhi shi
身体力行	shen ti li xing
视若儿戏	shi ruo er xi
尽心尽力	jin xin jin li
含沙射影	han sha she ying
当机立断	dang ji li duan
朝令暮改	zhao ling mu gai
炯炯有神	jiong jiong you shen
大有可为	da you ke wei
迷途知返	mi tu zhi fan
聪明绝顶	cong ming jue ding
坐失良机	zuo shi liang ji
分崩离析	fen beng li xi
风云变幻	feng yun bia huan
不知好歹	bu zhi hao dai
无私无畏	wu si wu wei
心慈手软	xin ci shou ruan
大呼小叫	da hu xiao jiao
火中取栗	huo zhong qu li
屈指可数	qu zhi ke shu
水滴石穿	shui di shi chuan
有条不紊	you tiao bu wen
满城风雨	man cheng feng yu
义不容辞	yi bu rong ci
玉树临风	yu shu lin feng
长话短说	chang hua duan shuo
扬长而去	yang chang er qu
小鸟依人	xiao niao yi ren
不可辩驳	bu ke bian bo
替天行道	ti tian xing dao
坐而论道	zuo er lun dao
水涨船高	shui zhang chuan gao
铁杵磨针	tie chu mo zhen
娓娓而谈	wei wei er tan
决胜千里	jue sheng qian li
物归原主	wu gui yuan zhu
百废待兴	bai fei dai xing
空洞无物	kong dong wu wu
堆积成山	dui ji cheng shan
相濡以沫	xiang ru yi mo
犹豫不定	you yu bu ding
如日中天	ru ri zhong tian
兴高采烈	xing gao cai lie
十面埋伏	shi mian mai fu
得寸进尺	de cun jin chi
严阵以待	yan zhen yi dai
鱼贯而行	yu guan er xing
无可非议	wu ke fei yi
良师益友	liang shi yi you
反败为胜	fan bai wei sheng
神气十足	shen qi shi zu
耳提面命	er ti mian ming
短小精干	duan xiao jing gan
唯妙唯肖	wei miao wei xiao
两虎相斗	liang hu xiang dou
孤家寡人	gu jia gua ren
口如悬河	kou ru xuan he
自相残杀	zi xiang can sha
贼喊捉贼	zei han zhuo zei
枪林弹雨	qiang lin dan yu
望尘莫及	wang chen mo ji
坚苦卓绝	jian ku zhuo jue
各抒己见	ge shu ji jian
举世无双	ju shi wu shuang
不遗余力	bu yi yu li
药到病除	yao dao bing chu
头晕眼花	tou yun yan hua
大有人在	da you ren zai
哀鸿遍地	ai hong bian di
怒不可遏	nu bu ke e
视同手足	shi tong shou zu
明辨是非	ming bian shi fei
难以挽回	nan yi wan hui
畏首畏尾	wei sho wei wei
一网打尽	yi wang da jin
口若悬河	kou ruo xuan he
装腔作势	zhuang qiang zuo shi
乐不思蜀	le bu si shu
一丝不苟	yi si bu gou
置之度外	zhi zhi du wai
无所不为	wu suo bu wei
粗枝大叶	cu zhi da ye
莘莘学子	shen shen xue zi
失而复得	shi er fu de
胆战心惊	dan zhan xin jing
鼠目寸光	shu mu cun guang
毫不在意	hao bu zai yi
刀光剑影	dao guang jian ying
聪明才智	cong ming cai zhi
变化多端	bian hua duo duan
见微知著	jian wei zhi zhu
不甘后人	bu gan hou ren
和蔼可亲	he ai ke qin
举世瞩目	ju shi zhu mu
力不能及	li bu neng ji
唉声叹气	ai sheng tan qi
汗流浃背	han liu jia bei
如愿以偿	ru yuan yi chang
不堪一击	bu kan yi ji
欢呼雀跃	huan hu que yue
势如破竹	shi ru po zhu
束手待毙	shu shou dai bi
冰山一角	bing shan yi jiao
后起之秀	hou qi zhi xiu
夜不闭户	ye bu bi hu
真心诚意	zhen xin cheng yi
童叟无欺	tong sou wu qi
垂死挣扎	chui si zheng zha
金碧辉煌	jin bi hui huang
不共戴天	bu gong dai tian
事不过三	shi bu guo san
横七竖八	heng qi shu ba
劳而无功	lao er wu gong
光明正大	guang ming zheng da
太平盛世	tai ping sheng shi
情同手足	qing tong shou zu
人小鬼大	ren xiao gui da
文不对题	wen bu dui ti
心乱如麻	xin luan ru ma
话中有话	hua zhong you hua
融会贯通	rong hui guan tong
冰雪聪明	bing xue cong ming
狐假虎威	hu jia hu wei
聚精会神	ju jing hui shen
生气勃勃	sheng qi bo bo
朝三暮四	zhao san mu si
不理不睬	bu li bu cai
始终不渝	shi zhong bu yu
乘其不备	cheng qi bu bei
低头丧气	di tou sang qi
前呼后拥	qian hu hou yong
自相矛盾	zi xiang mao dun
后继有人	hou ji you ren
倾盆大雨	qing pen da yu
英姿勃发	ying zi bo fa
卧薪尝胆	wo xin chang dan
英雄辈出	ying xong bei chu
一拥而上	yi yong er shang
专心致志	zhuan xin zhi zhi
一拍即合	yi pai ji he
朗朗上口	lang lang shang kou
知书达礼	zhi shu da li
人声鼎沸	ren sheng ding fei
一往无前	yi wang wu qian
大材小用	da cai xiao yong
棋高一着	qi gao yi zhao
十拿九稳	shi na jiu wen
邪不压正	xie bu ya zheng
众说纷纭	zhong shuo fen yun
击中要害	ji zhong yao hai
强人所难	qiang ren suo nan
妄自菲薄	wang zi fei bo
人人皆知	ren ren jie zhi
宁缺勿滥	ning que wu lan
一举一动	yi ju yi dong
谈虎色变	tan hu se bian
笑容满面	xiao rong man mian
班门弄斧	ban men nong fu
泪如泉涌	lei ru quan yong
聪明伶俐	cong ming ling li
近朱者赤	jin zhu zhe chi
长吁短叹	chang xu duan tan
养尊处优	yang zun chu you
楚楚可怜	chu chu ke lian
乐极生悲	le ji sheng bei
若隐若现	ruo yin ruo xian
一唱一和	yi chang yi he
前思后想	qian si hou xiang
铭心刻骨	ming xin ke gu
分文不取	fen wen bu qu
怨天尤人	yuan tian you ren
天下无双	tian xia wu shuang
如醉如痴	ru zui ru chi
习以为常	xi yi wei chang
另当别论	ling dang bie lun
略见一斑	lue jian yi ban
波澜不惊	bo lan bu jing
津津有味	jin jin you wei
乱作一团	luan zuo yi tuan
死去活来	si qu huo lai
囊中羞涩	nang zhong xiu se
分门别类	fen men bie lei
平心静气	ping xin jing qi
价值连城	jia zhi lian cheng
义正词严	yi zheng ci yan
以弱胜强	yi ruo sheng qiang
贪得无厌	tan de wu yan
甘苦与共	gan ku yu gong
鼓舞人心	gu wu ren xin
横冲直撞	heng chong zhi zhuang
优哉游哉	you zai you zai
一臂之力	yi bi zhi li
沾沾自喜	zhan zhan zi xi
人满为患	ren man wei huan
百口莫辩	bai kou mo bian
笨鸟先飞	ben niao xian fei
取长补短	qu chang bu duan
力排众议	li pai zhong yi
美中不足	mei zhong bu zu
见风转舵	jian feng zhuan duo
生死与共	sheng si yu gong
肝肠寸断	gan chang cun duan
生离死别	sheng li si bie
感恩图报	gan en tu bao
天高地厚	tian gao di hou
虎口逃生	hu kou tao sheng
非亲非故	fei qin fei gu
不闻不问	bu wen bu wen
精益求精	jing yi qiu jing
前仆后继	qian pu hou ji
半夜三更	ban ye san geng
扑朔迷离	pu shuo mi li
漫山遍野	man shan bian ye
枯木逢春	ku mu feng chun
谆谆告诫	zhun zhun gao jie
半斤八两	ban jin ba liang
光怪陆离	guang guai lu li
稳如泰山	wen ru tai shan
水土不服	shui tu bu fu
如痴似醉	ru chi si zui
难以置信	nan yi zhi xin
遗臭万年	yi chou wan nian
一泻千里	yi xie qian li
谋事在人	mou shi zai ren
宠辱不惊	chong ru bu jing
自高自大	zi gao zi da
此起彼伏	ci qi bi fu
痛定思痛	tong ding si tong
深信不疑	shen xin bu yi
直抒己见	zhi shu ji jian
不置可否	bu zhi ke fou
穷根究底	qiong gen jiu di
埋头苦干	mai tou ku gan
公之于众	gong zhi yu zhong
半推半就	ban tui ban jiu
悔恨交加	hui hen jiao jia
万事如意	wan shi ru yi
大气磅礴	da qi pang bo
少见多怪	shao jian duo guai
竹篮打水	zhu lan da shui
不胜其烦	bu sheng qi fan
言多必失	yan duo bi shi
不折不扣	bu zhe bu kou
开阔眼界	kai kuo yan jie
力尽筋疲	li jin jin pi
出尔反尔	chu er fan er
经久不息	jing jiu bu xi
留连忘返	liu lian wang fan
甜酸苦辣	tian suan ku la
早出晚归	zao chu wan gui
良莠不齐	liang you bu qi
久而久之	jiu er jiu zhi
由近及远	you jin ji yuan
围魏救赵	wei wei jiu zhao
猫哭耗子	mao ku hao zi
一表人才	yi biao ren cai
抱头鼠窜	bao tou shu cuan
发扬光大	fa yang guang da
借花献佛	jie hua xian fo
计上心来	ji shang xin lai
一掷千金	yi zhi qian jin
以少胜多	yi shao sheng duo
一语破的	yi yu po di
自给自足	zi ji zi zu
违法乱纪	wei fa luan ji
扭捏作态	niu nie zuo tai
蜂拥而至	feng yong er zhi
自知之明	zi zhi zhi ming
和而不同	he er bu tong
粉身碎骨	fen shen sui gu
兴风作浪	xing feng zuo lang
大手大脚	da shou da jiao
倚老卖老	yi lao mai lao
迫不得已	po bu de yi
贼眉鼠眼	zei mei shu yan
坦然自若	tan ran zi ruo
饱经风霜	bao jing feng shuang
兵不血刃	bing bu xue ren
望洋兴叹	wang yang xing tan
迫不及待	po bu ji dai
果不其然	guo bu qi ran
大言不惭	da yan bu can
网开一面	wang kai yi mian
操之过急	cao zhi guo ji
百折不回	bai zhe bu hui
出奇制胜	chu qi zhi sheng
根深蒂固	gen shen di gu
挑三拣四	tiao san jian si
天生丽质	tian sheng li zhi
横生枝节	heng sheng zhi jie
风雨同舟	feng yu tong zhou
微不足道	wei bu zu dao
畅通无阻	chang tong wu zu
万里无云	wan li wu yun
花团锦簇	hua tuan jin cu
返朴归真	fan pu gui zhen
毫不介意	hao bu jie yi
学识渊博	xue shi yuan bo
金玉良言	jin yu liang yan
投机取巧	tou ji qu qiao
螳螂捕蝉	tang lang bu chan
饥寒交迫	ji han jiao po
此起彼落	ci qi bi luo
得意之色	de yi zhi se
活龙活现	huo long huo xian
姑息养奸	gu xi yang jian
拔苗助长	ba miao zhu zhang
势如水火	shi ru shui huo
始作俑者	shi zuo yong zhe
无中生有	wu zhong sheng you
斗转星移	dou zhuan xing yi
有志竟成	you zhi jing cheng
有情有义	you qing you yi
归根结蒂	gui gen jie di
鞠躬尽瘁	ju gong jin cui
画龙点睛	hua long dian jing
怒形于色	nu xing yu se
绞尽脑汁	jiao jin nao zhi
大相径庭	da xiang jing ting
暗箭伤人	an jian shang ren
同心协力	tong xin xie li
敢作敢当	gan zuo gan dang
斩钉截铁	zhan ding jie tie
不计其数	bu ji qi shu
不足挂齿	bu zu gua chi
自取灭亡	zi qu mie wang
青史留名	qing shi liu ming
宁缺毋滥	ning que wu lan
按图索骥	an tu suo ji
挥汗如雨	hui han ru yu
积习难改	ji xi nan gai
言不由衷	yan bu you zhong
坚定不移	jian ding bu yi
源源不断	yuan yuan bu duan
害人不浅	hai ren bu qian
爱财如命	ai cai ru ming
侃侃而谈	kan kan er tan
呕心沥血	ou xin li xue
天伦之乐	tian lun zhi le
天壤之别	tian rang zhi bie
冷嘲热讽	leng chao re feng
生机盎然	sheng ji ang ran
会心一笑	hui xin yi xiao
咄咄逼人	duo duo bi ren
淋漓尽致	lin li jin zhi
疾言厉色	ji yan li se
新陈代谢	xin chen dai xie
大步流星	da bu liu xing
以退为进	yi tui wei jin
牙牙学语	ya ya xue yu
力挽狂澜	li wan kuang lan
远近驰名	yuan jin chi ming
首屈一指	shou qu yi zhi
毛手毛脚	mao shou mao jiao
茶余饭后	cha yu fan hou
面黄肌瘦	mian huang ji shou
釜底抽薪	fu di chou xin
何去何从	he qu he cong
飘洋过海	piao yang guo hai
低声下气	di sheng xia qi
三五成群	san wu cheng qun
出神入化	chu shen ru hua
多此一举	duo ci yi ju
醉生梦死	zui sheng meng si
溃不成军	kui bu cheng jun
勾心斗角	gou xin dou jiao
无牵无挂	wu qian wu gua
无踪无影	wu zong wu ying
以防未然	yi fang wei ran
天翻地覆	tian fan di fu
望子成龙	wang zi cheng long
千山万水	qian shan wan shui
口快心直	kou kuai xin zhi
应运而生	ying yun er sheng
疑神疑鬼	yi shen yi gui
是非曲直	shi fei qu zhi
含糊其辞	han hu qi ci
转悲为喜	zhuan bei wei xi
高谈阔论	gao tan kuo lun
眉清目秀	mei qing mu xiu
胆大妄为	dan da wang wei
心力交瘁	xin li jiao cui
电闪雷鸣	dian shan lei ming
心潮澎湃	xin chao peng pai
才高八斗	cai gao ba dou
毛骨悚然	mao gu song ran
蚍蜉撼树	pi fu han shu
半真半假	ban zhen ban jia
开天辟地	kai tian pi di
对号入座	dui hao ru zuo
精疲力尽	jing pi li jin
无与伦比	wu yu lun bi
俯拾即是	fu shi ji shi
和衷共济	he zhong gong ji
病从口入	bing cong kou ru
繁荣昌盛	fan rong chang sheng
乐此不疲	le ci bu pi
娇小玲珑	jiao xiao ling long
追根寻底	zhui gen xun di
百炼成钢	bai lian cheng gang
危言耸听	wei yan song ting
见缝插针	jian feng cha zhen
顺理成章	shun li cheng zhang
平平淡淡	ping ping dan dan
瘦骨嶙峋	shou gu lin xun
惊弓之鸟	jing gong zhi niao
春风化雨	chun feng hua yu
目不暇接	mu bu xia jie
居功自傲	ju gong zi ao
虽死犹荣	sui si you rong
不依不饶	bu yi bu rao
沧海桑田	cang hai sang tian
急如星火	ji ru xing huo
千头万绪	qian tou wan xu
锦绣前程	jin xiu qian cheng
一清二白	yi qing er bai
容光焕发	rong guang huan fa
万象更新	wan xiang geng xin
欲言又止	yu yan you zhi
年富力强	nian fu li qiang
死得其所	si de qi suo
七窍生烟	qi qiao sheng yan
小试锋芒	xiao shi feng mang
年轻气盛	nian qing qi sheng
左膀右臂	zuo bang you bi
相逢恨晚	xiang feng hen wan
前车之鉴	qian che zhi jian
发奋图强	fa fen tu qiang
归根结底	gui gen jie di
见智见仁	jian zhi jian ren
自成一家	zi cheng yi jia
喜上眉梢	xi shang mei shao
如鱼得水	ru yu de shui
不惜代价	bu xi dai jia
悲痛欲绝	bei tong yu jue
渐入佳境	jian ru jia jing
求同存异	qiu tong cun yi
敢做敢为	gan zuo gan wei
励精图治	li jing tu zhi
作贼心虚	zuo zei xin xu
钩心斗角	gou xin dou jiao
光彩夺目	guang cai duo mu
大庭广众	da ting guang zhong
各行其是	ge xing qi shi
深恶痛恨	shen wu tong hen
嘻皮笑脸	xi pi xiao lian
高官厚禄	gao guan hou lu
留恋不舍	liu lian bu she
可想而知	ke xiang er zhi
宽大为怀	kuan da wei huai
艰难险阻	jian nan xian zu
一吐为快	yi tu wei kuai
大海捞针	da hai lao zhen
与世无争	yu shi wu zheng
阴谋诡计	yin mou gui ji
过眼云烟	guo yan yun yan
赴汤蹈火	fu tang dao huo
现身说法	xian shen shuo fa
神秘莫测	shen mi mo ce
说到做到	shuo dao zuo dao
喜怒无常	xi nu wu chang
赏罚分明	shang fa fen ming
胸有成竹	xiong you cheng zhu
白驹过隙	bai ju guo xi
不速之客	bu su zhi ke
临危受命	lin wei shou ming
山高水远	shan gao shui yuan
牵肠挂肚	qian chang gua du
自立门户	zi li men hu
缘木求鱼	yuan mu qiu yu
马到功成	ma dao gong cheng
蒙昧无知	meng mei wu zhi
来者不拒	lai zhe bu ju
记忆犹新	ji yi you xin
出头露面	chu tou lu mian
悠然自得	you ran zi de
伤筋动骨	shang jin dong gu
丰富多彩	feng fu duo cai
留有余地	liu you yu di
瘦骨如柴	shou gu ru chai
下笔成章	xia bi cheng zhang
驰名中外	chi ming zhong wai
老调重谈	lao diao chong tan
绚丽多彩	xuan li duo cai
死皮赖脸	si pi lai lian
千方百计	qian fang bai ji
寄人篱下	ji ren li xia
不能自已	bu neng zi yi
春华秋实	chun hua qiu shi
天真无邪	tian zhen wu xie
念念不忘	nian nian bu wang
独辟蹊径	du pi xi jing
天衣无缝	tian yi wu feng
沉不住气	chen bu zhu qi
新来乍到	xin lai zha dao
择善而从	ze shan er cong
多愁善感	duo chou shan gan
自讨苦吃	zi tao ku chi
高枕无忧	gao zhen wu you
冷酷无情	leng ku wu qing
变幻莫测	bian huan mo ce
甘拜下风	gan bai xia feng
养虎为患	yang hu wei huan
惘然若失	wang ran ruo shi
怨声载道	yuan sheng zai dao
锦上添花	jin shang tian hua
十面埋伏	shi mian mai fu
流落他乡	liu luo ta xiang
合情合理	he qing he li
天方夜谭	tian fang ye tan
物以类聚	wu yi lei ju
自食其言	zi shi qi yan
小巧玲珑	xiao qiao ling long
天各一方	tian ge yi fang
平心而论	ping xin er lun
一扫而光	yi sao er guang
慌手慌脚	huang shou huang jiao
素不相识	su bu xiang shi
待人接物	dai ren jie wu
志大才疏	zhi da cai shu
筋疲力竭	jin pi li jie
意想不到	yi xiang bu dao
电闪雷鸣	dian shan lei ming
打成一片	da cheng yi pian
引人入胜	yin ren ru sheng
心服口服	xin fu kou fu
花天酒地	hua tian jiu di
没完没了	mei wan mei liao
慢条斯理	man tiao si li
狐群狗党	hu qun gou dang
任人唯贤	ren ren wei xian
大摇大摆	da yao da bai
追根求源	zhui gen qiu yuan
拍案叫绝	pai an jiao jue
扬长避短	yang chang bi duan
瓮中捉鳖	weng zhong zhuo bie
娓娓动听	wei wei dong ting
镇定自若	zhen ding zi ruo
是非不分	shi fei bu fen
默默无声	mo mo wu sheng
寸草不生	cun cao bu sheng
坐失时机	zuo shi shi ji
回味无穷	hui wei wu qiong
不辞劳苦	bu ci lao ku
横行霸道	heng xing ba dao
无法无天	wu fa wu tian
拉帮结派	la bang jie pai
盛情难却	sheng qing nan que
公平合理	gong ping he li
息息相关	xi xi xiang guan
泰然处之	tai ran chu zhi
志同道合	zhi tong dao he
魂飞天外	hun fei tian wai
如出一辙	ru chu yi zhe
小人得志	xiao ren de zhi
大惑不解	da huo bu jie
临危不乱	lin wei bu luan
庸人自扰	yong ren zi rao
心宽体胖	xin kuan ti pan
能者为师	neng zhe wei shi
移花接木	yi hua jie mu
汗如雨下	han ru yu xia
功成身退	gong cheng shen tui
诗情画意	shi qing hua yi
遍地开花	bian di kai hua
故伎重演	gu ji zhong yan
聚精凝神	ju jing ning shen
臭名昭著	chou ming zhao zhu
忠心耿耿	zhong xin geng geng
字正腔圆	zi zheng qiang yuan
谈何容易	tan he rong yi
铺张浪费	pu zhang lang fei
大跌眼镜	da die yan jing
真情实感	zhen qing shi gan
风声鹤唳	feng sheng he li
包罗万象	bao luo wan xiang
惨不忍睹	can bu ren du
稀奇古怪	xi qi gu guai
意料之外	yi liao zhi wai
甜言蜜语	tian yan mi yu
坚如磐石	jian ru pan shi
分毫不差	fen hao bu cha
马不停蹄	ma bu ting ti
大浪淘沙	da lang tao sha
周而复始	zhou er fu shi
痛哭流涕	tong ku liu ti
对答如流	dui da ru liu
怒容满面	nu rong man mian
严严实实	yan yan shi shi
千真万确	qian zhen wan que
声东击西	sheng dong ji xi
日久天长	ri jiu tian chang
若即若离	ruo ji ruo li
模棱两可	mo leng liang ke
僧多粥少	seng duo zhou shao
镜花水月	jing hua shui yue
闭目塞听	bi mu se ting
痛改前非	tong gai qian fei
相形见绌	xiang xing jian chu
无所不有	wu suo bu you
每况愈下	mei kuang yu xia
无关痛痒	wu guan tong yang
博闻强记	bo wen qiang ji
回心转意	hui xin zhuan yi
如履平地	ru lu ping di
迫在眉睫	po zai mei jie
衣冠禽兽	yi guan qin shou
慷慨激昂	kang kai ji ang
连锁反应	lian suo fan ying
不失时机	bu shi shi ji
天道酬勤	tian dao chou qin
垂手可得	chui shou ke de
口耳相传	kou er xiang chuan
勃然大怒	bo ran da nu
国破家亡	guo po jia wang
气急败坏	qi ji bai huai
同流合污	tong liu he wu
争奇斗艳	zheng qi dou yan
日新月异	ri xin yue yi
未雨绸缪	wei yu chou mou
无所作为	wu suo zuo wei
意气用事	yi qi yong shi
一飞冲天	yi fei chong tian
苦思冥想	ku si ming xiang
不拘一格	bu ju yi ge
虎口拔牙	hu kou ba ya
家家户户	jia jia hu hu
飞禽走兽	fei qin zou shou
龙飞凤舞	long fei feng wu
浩如烟海	hao ru yan hai
地覆天翻	di fu tian fan
敬而远之	jing er yuan zhi
扶危济困	fu wei ji kun
悄然无声	qiao ran wu sheng
克勤克俭	ke qin ke jian
厚积薄发	hou ji bo fa
费尽心机	fei jin xin ji
治病救人	zhi bing jiu ren
乱七八糟	luan qi ba zao
相辅相成	xiang fu xiang cheng
光明大道	guang ming da dao
百密一疏	bai mi yi shu
参差不齐	cen ci bu qi
由衷之言	you zhong zhi yan
以备万一	yi bei wan yi
打破陈规	da po chen gui
大功告成	da gong gao cheng
令人钦佩	ling ren qin pei
公而忘私	gong er wang si
大言不惭	da yan bu can
以己度人	yi ji duo ren
刻苦钻研	ke ku zuan yan
唯利是图	wei li shi tu
离乡背井	li xiang bei jing
挤眉弄眼	ji mei nong yan
如坐针毡	ru zuo zhen zhan
所向无敌	suo xiang wu di
惨无人道	can wu ren dao
铺天盖地	pu tian gai di
迎刃而解	ying ren er jie
寥寥无几	liao liao wu ji
一潭死水	yi tan si shui
节衣缩食	jie yi suo shi
一语双关	yi yu shuang guan
动如脱兔	dong ru tuo tu
混淆视听	hun xiao shi ting
力争上游	li zheng shang you
奇思妙想	qi si miao xiang
步调一致	bu diao yi zhi
瞒上欺下	man shang qi xia
一钱不值	yi qian bu zhi
大开眼界	da kai yan jie
推己及人	tui ji ji ren
不分伯仲	bu fen bo zhong
平起平坐	ping qi ping zuo
感人至深	gan ren zhi shen
来之不易	lai zhi bu yi
嫁祸于人	jia huo yu ren
情深意重	qing shen yi zhong
腾空而起	teng kong er qi
小心谨慎	xiao xin jin shen
通宵达旦	tong xiao da dan
千锤百炼	qian chui bai lian
管中窥豹	guan zhong kui bao
没齿难忘	mo chi nan wang
人微言轻	ren wei yan qing
一反常态	yi fan chang tai
省吃俭用	sheng chi jian yong
玲珑剔透	ling long ti tou
自顾不暇	zi gu bu xia
一动不动	yi dong bu dong
大显身手	da xian shen shou
前无古人	qian wu gu ren
干净利落	gan jing li luo
另眼相待	ling yan xiang dai
好高骛远	hao gao wu yuan
抱薪救火	bao xin jiu huo
握手言欢	wo shou yan huan
百折不挠	bai zhe bu nao
天下为公	tian xia wei gong
不知所云	bu zhi suo yun
直接了当	zhi jie liao dang
回头是岸	hui tou shi an
断章取义	duan zhang qu yi
脍炙人口	kuai zhi ren kou
攻其不备	gong qi bu bei
心如死灰	xin ru si hui
深思熟虑	shen si shu lu
老调重弹	lao diao zhong dan
礼尚往来	li shang wang lai
左邻右舍	zuo lin you she
行色匆匆	xing se cong cong
玩世不恭	wan shi bu gong
黔驴技穷	qian lu ji qiong
天灾人祸	tian zai ren huo
当家作主	dang jia zuo zhu
不知所措	bu zhi suo cuo
得意扬扬	de yi yang yang
笔走龙蛇	bi zou long she
桃红柳绿	tao hong liu lu
熟门熟路	shu men shu lu
一鼓作气	yi gu zuo qi
轩然大波	xuan ran da bo
熟能生巧	shu neng sheng qiao
化敌为友	hua di wei you
天长日久	tian chang ri jiu
两厢情愿	liang xiang qing yuan
令人瞩目	ling ren zhu mu
绳之以法	sheng zhi yi fa
弃旧图新	qi jiu tu xin
追名逐利	zhui ming zhu li
并肩作战	bing jian zuo zhan
无懈可击	wu xie ke ji
明争暗斗	ming zheng an dou
柔能克刚	rou neng ke gang
杀鸡吓猴	sha ji xia hou
手足之情	shou zu zhi qing
忍痛割爱	ren tong ge ai
借题发挥	jie ti fa hui
冲锋陷阵	chong feng xian zhen
阴阳怪气	yin yang guai qi
摩拳擦掌	mo quan ca zhang
不谋而合	bu mou er he
贪生怕死	tan sheng pa si
七嘴八舌	qi zui ba she
步步为营	bu bu wei ying
凿壁偷光	zao bi tou guang
引人瞩目	yin ren zhu mu
天外有天	tian wai you tian
登峰造极	deng feng zao ji
齐头并进	qi tou bing jin
一劳永逸	yi lao yong yi
见异思迁	jian yi si qian
称王称霸	cheng wang cheng ba
熠熠生辉	yi yi sheng hui
万般无奈	wan ban wu nai
颠沛流离	dian pei liu li
蒙混过关	meng hun guo guan
弄虚作假	nong xu zuo jia
妙不可言	miao bu ke yan
颠倒黑白	dian dao hei bai
万紫千红	wan zi qian hong
天朗气清	tian lang qi qing
古今中外	gu jin zhong wai
勃然大怒	bo ran da nu
如虎添翼	ru hu tian yi
相形见绌	xiang xing jian chu
惶惶不安	huang huang bu an
不以为然	bu yi wei ran
招架不住	zhao jia bu zhu
落叶知秋	luo ye zhi qiu
为虎作伥	wei hu zuo chang
一语道破	yi yu dao po
面面俱到	mian mian ju dao
千载难逢	qian zai nan feng
添砖加瓦	tian zhuan jie wa
有色眼镜	you se yan jing
崭露头角	zhan lu tou jiao
匪夷所思	fei yi suo si
螳臂挡车	tang bi dang che
改弦易辙	gai xian yi zhe
众星捧月	zhong xing peng yue
一如既往	yi ru ji wang
精打细算	jing da xi suan
喜怒哀乐	xi nu ai le
本末倒置	ben mo dao zhi
一步登天	yi bu deng tian
失道寡助	shi dao gua zhu
痛改前非	tong gai qian fei
不足为据	bu zu wei ju
千真万确	qian zhen wan que
超群绝伦	chao qun jue lun
漫不经心	man bu jing xin
隐恶扬善	yin e yang shan
独当一面	du dang yi mian
学海无涯	xue hai wu ya
多如牛毛	duo ru niu mao
通风报信	tong feng bao xin
急流勇进	ji liu yong jin
学富五车	xue fu wu che
真心实意	zhen xin shi yi
奄奄一息	yan yan yi xi
画蛇添足	hua she tian zu
不识时务	bu shi shi wu
一刻千金	yi ke qian jin
一日千里	yi ri qian li
暗度陈仓	an du chen cang
来日方长	lai ri fang chang
十年寒窗	shi nian han chuang
一无所得	yi wu suo de
无济于事	wu ji yu shi
破釜沉舟	po fu chen zhou
临危不惧	lin wei bu ju
摇尾乞怜	yao wei qi lian
一诺千金	yi nuo qian jin
初露锋芒	chu lu feng mang
默默无闻	mo mo wu wen
胡编乱造	hu bian luan zao
六亲不认	liu qin bu ren
含情脉脉	han qing mo mo
不惜一切	bu xi yi qie
白头偕老	bai tou xie lao
无影无踪	wu ying wu zong
若有所思	ruo you suo si
闲言碎语	xian yan sui yu
死心塌地	si xin ta di
勤能补拙	qin neng bu zhuo
一触即发	yi chu ji fa
百花齐放	bai hua qi fang
求知若渴	qiu zhi ruo ke
一团漆黑	yi tuan qi hei
凿壁借光	zao bi jie guang
生死关头	sheng si guan tou
谨言慎行	jin yan shen xing
功德圆满	gong de yuan man
无可比拟	wu ke bi ni
锋芒毕露	feng mang bi lu
二话没说	er hua mei shuo
舍本求末	she ben qiu mo
珠联璧合	zhu lian bi he
不瘟不火	bu wen bu huo
大手大脚	da shou da jiao
沧海一粟	cang hai yi su
心有余悸	xin you yu ji
江山如画	jiang shan ru hua
大智若愚	da zhi ruo yu
起早贪黑	qi zao tan hei
草木皆兵	cao mu jie bing
各自为政	ge zi wei zheng
走为上计	zou wei shang ji
面如土色	mian ru tu se
久经风霜	jiu jing feng shuang
风行一时	feng xing yi shi
逃之夭夭	tao zhi yao yao
谈笑风生	tan xiao feng sheng
正人君子	zheng ren jun zi
双管齐下	shuang guan qi xia
