珠光宝气	zhu guang bao qi
自得其乐	zi de qi le
揭竿而起	jie gan er qi
不堪回首	bu kan hui shou
雕虫小技	diao chong xiao ji
遍体鳞伤	bian ti lin shang
一笑了之	yi xiao liao zhi
空话连篇	kong hua lian pian
飞沙走石	fei sha zou shi
叶公好龙	ye gong hao long
走马上任	zou ma shang ren
招摇撞骗	zhao yao zhuang pian
难能可贵	nan neng ke gui
变本加厉	bian ben jia li
不动声色	bu dong sheng se
所见略同	suo jian lue tong
支吾其词	zhi wu qi ci
迎头赶上	ying tou gan shang
病入膏肓	bing ru gao huang
完美无瑕	wan mei wu xia
正襟危坐	zheng jin wei zuo
年少气盛	nian shao qi sheng
死搬硬套	si ban ying tao
刚柔相济	gang rou xiang ji
安于现状	an yu xian zhuang
无理取闹	wu li qu nao
以防万一	yi fang wan yi
笑容可掬	xiao rong ke ju
其貌不扬	qi mao bu yang
恼羞成怒	nao xiu cheng nu
无缘无故	wu yuan wu gu
冤冤相报	yuan yuan xiang bao
克己奉公	ke ji feng gong
千奇百怪	qian qi bai guai
旁观者清	pang guan zhe qing
名不符实	ming bu fu shi
另辟蹊径	ling pi xi jing
神采奕奕	shen cai yi yi
依然如故	yi ran ru gu
不三不四	bu san bu si
养虎遗患	yang hu yi huan
前途渺茫	qian tu miao mang
顾影自怜	gu ying zi lian
各有所好	ge you suo hao
相视无言	xiang shi wu yan
睹物思人	du wu si ren
气喘吁吁	qi chuan xu xu
信口雌黄	xin kou ci huang
危如累卵	wei ru lei luan
坐吃山空	zuo chi shan kong
不约而同	bu yue er tong
稍逊一筹	shao xun yi chou
班门弄斧	ban men nong fu
油然而生	you ran er sheng
畏首畏尾	wei sho wei wei
耳闻目睹	er wen mu du
朝思暮想	zhao si mu xiang
独占鳌头	du zhan ao tou
好大喜功	hao da xi gong
星罗棋布	xing luo qi bu
虎落平阳	hu luo ping yang
踌躇不决	chou chu bu jue
奋发有为	fen fa you wei
千方百计	qian fang bai ji
抛头露面	pao tou lu mian
惊惶失措	jing huang shi cuo
心存芥蒂	xin cun jie di
妇孺皆知	fu ru jie zhi
隔墙有耳	ge qiang you er
束手就擒	shu shou jiu qin
不由分说	bu you fen shuo
应有尽有	ying you jin you
锲而不舍	qie er bu she
道听涂说	dao ting tu shuo
浩浩荡荡	hao hao dang dang
无米之炊	wu mi zhi chui
触景生情	chu jing sheng qing
以身作则	yi shen zuo ze
乌烟瘴气	wu yan zhang qi
进退维谷	jin tui wei gu
了如指掌	liao ru zhi zhang
专心一致	zhuan xin yi zhi
昙花一现	tan hua yi xian
忍无可忍	ren wu ke ren
真相大白	zhen xiang da bai
名副其实	ming fu qi shi
好吃懒做	hao chi lan zuo
群龙无首	qun long wu shou
居高临下	ju gao lin xia
令人神往	ling ren shen wang
独来独往	du lai du wang
大是大非	da shi da fei
下不为例	xia bu wei li
小试牛刀	xiao shi niu dao
金蝉脱壳	jin chan tuo qiao
同心同德	tong xin tong de
同仇敌忾	tong chou di kai
速战速决	su zhan su jue
大打出手	da da chu shou
轻举妄动	qing ju wang dong
胸无城府	xiong wu cheng fu
昏迷不醒	hun mi bu xing
草菅人命	cao jian ren ming
不自量力	bu zi liang li
初生之犊	chu sheng zhi du
劈荆斩棘	pi jing zhan ji
一团和气	yi tuan he qi
历历在目	li li zai mu
苦尽甘来	ku jin gan lai
长此以往	chang ci yi wang
同病相怜	tong bing xiang lian
乘风破浪	cheng feng po lang
生死攸关	sheng si you guan
逍遥自在	xiao yao zi zai
不假思索	bu jia si suo
大事化小	da shi hua xiao
天之骄子	tian zhi jiao zi
身历其境	shen li qi jing
抛砖引玉	pao zhuan yin yu
一语中的	yi yu zhong di
学无止境	xue wu zhi jing
燃眉之急	ran mei zhi ji
鸟语花香	niao yu hua xiang
不进则退	bu jin ze tui
神采焕发	shen cai huan fa
狼子野心	lang zi ye xin
浑然一体	hun ran yi ti
不成体统	bu cheng ti tong
苟且偷生	gou qie tou sheng
明察秋毫	ming cha qiu hao
高抬贵手	gao tai gui shou
众星拱月	zhong xing gong yue
推心置腹	tui xin zhi fu
狗急跳墙	gou ji tiao qiang
独木难支	du mu nan zhi
乐善好施	le shan hao shi
轻而易举	qing er yi ju
奋发向上	fen fa xiang shang
丰功伟绩	feng gong wei ji
以德报怨	yi de bao yuan
健步如飞	jian bu ru fei
事过境迁	shi guo jing qian
郁郁寡欢	yu yu gua huan
深得人心	shen de ren xin
顾虑重重	gu lu chong chong
夜长梦多	ye chang meng duo
轰动一时	hong dong yi shi
狼狈为奸	lang bei wei jian
白手成家	bai shou cheng jia
甘心情愿	gan xin qing yuan
强取豪夺	qiang qu hao duo
背井离乡	bei jing li xiang
举手之劳	ju shou zhi lao
豁然开朗	huo ran kai lang
人多势众	ren duo shi zhong
倒行逆施	dao xing ni shi
坚忍不拔	jian ren bu ba
默不作声	mo bu zuo sheng
引火烧身	yin huo shao shen
严惩不贷	yan cheng bu dai
顺水推舟	shun shui tui zhou
震天动地	zhen tian dong di
愚公移山	yu gong yi shan
不劳而获	bu lao er huo
求之不得	qiu zhi bu de
急起直追	ji qi zhi zhui
尖酸刻薄	jian suan ke bo
见财起意	jian cai qi yi
不言而喻	bu yan er yu
猝不及防	cu bu ji fang
略胜一筹	lue sheng yi chou
爱憎分明	ai zeng fen ming
伶牙利齿	ling ya li chi
误入歧途	wu ru qi tu
书香门第	shu xiang men di
眼花缭乱	yan hua liao luan
见机而行	jian ji er xing
假公济私	jia gong ji si
内外夹攻	nei wai jia gong
一片丹心	yi pian dan xin
凤毛麟角	feng mao lin jiao
涉世未深	she shi wei shen
投桃报李	tou tao bao li
勤勤恳恳	qin qin ken ken
任人摆布	ren ren bai bu
天各一方	tian ge yi fang
化险为夷	hua xian wei yi
日夜兼程	ri ye jian cheng
力所不及	li suo bu ji
贪心不足	tan xin bu zu
虚无缥缈	xu wu piao miao
不负众望	bu fu zhong wang
大有人在	da you ren zai
可歌可泣	ke ge ke qi
对症下药	dui zheng xia yao
动人心弦	dong ren xin xian
感激不尽	gan ji bu jin
邯郸学步	han dan xue bu
甜酸苦辣	tian suan ku la
猴年马月	hou nian ma yue
子虚乌有	zi xu wu you
花落谁家	hua luo shui jia
有张有弛	you zhang you chi
精诚团结	jing cheng tuan jie
鱼贯而出	yu guan er chu
表里如一	biao li ru yi
身心交瘁	shen xin jiao cui
坚不可摧	jian bu ke cui
山重水复	shan chong shui fu
心惊胆颤	xin jing dan chan
无的放矢	wu di fang shi
全力以赴	quan li yi fu
拍手称快	pai shou cheng kuai
阴差阳错	yin cha yang cuo
说一不二	shuo yi bu er
天生丽质	tian sheng li zhi
故弄玄虚	gu nong xuan xu
风和日丽	feng he ri li
左右为难	zuo you wei nan
安如泰山	an ru tai shan
任重道远	ren zhong dao yuan
精疲力竭	jing pi li jie
盆满钵满	pen man bo man
接踵而来	jie zhong er lai
血流成河	xue liu cheng he
势均力敌	shi jun li di
胸无大志	xiong wu da zhi
省吃俭用	sheng chi jian yong
求新立异	qiu xin li yi
无所不晓	wu suo bu xiao
大有作为	da you zuo wei
想入非非	xiang ru fei fei
一见倾心	yi jian qing xin
面红耳赤	mian hong er chi
死有余辜	si you yu gu
自惭形秽	zi can xing hui
卑鄙无耻	bei bi wu chi
心急如火	xin ji ru huo
畅行无阻	chang xing wu zu
死里逃生	si li tao sheng
杂乱无章	za luan wu zhang
走为上策	zou wei shang ce
胡思乱想	hu si luan xiang
疾恶如仇	ji e ru chou
万全之策	wan quan zhi ce
众矢之的	zhong shi zhi di
拖泥带水	tuo ni dai shui
百年好合	bai nian hao he
寸草不留	cun cao bu liu
忧国忧民	you guo you min
勤俭节约	qin jian jie yue
十全十美	shi quan shi mei
灯红酒绿	deng hong jiu lu
悲观失望	bei guan shi wang
患难之交	huan nan zhi jiao
紧追不舍	jin zhui bu she
业精于勤	ye jing yu qin
光明磊落	guang ming lei luo
志存高远	zhi cun gao yuan
落英缤纷	luo ying bin fen
身不由主	shen bu you zhu
气象万千	qi xiang wan qian
望而生畏	wang er sheng wei
一望无边	yi wang wu bian
盖棺定论	gai guan ding lun
门庭若市	men ting ruo shi
得不偿失	de bu chang shi
串通一气	chuan tong yi qi
别出心裁	bie chu xin cai
烟消云散	yan xiao yun san
如火燎原	ru huo liao yuan
水洩不通	shui xie bu tong
承先启后	cheng xian qi hou
义愤填膺	yi fen tian ying
理直气壮	li zhi qi zhuang
于心有愧	yu xin you kui
孺子可教	ru zi ke jiao
锣鼓喧天	luo gu xuan tian
毫无逊色	hao wu xun se
反复无常	fan fu wu chang
怡然自得	yi ran zi de
国富民强	guo fu min qiang
就事论事	jiu shi lun shi
熟视无睹	shu shi wu du
无可救药	wu ke jiu yao
痛定思痛	tong ding si tong
安居乐业	an ju le ye
狡兔三窟	jiao tu san ku
近在眉睫	jin zai mei jie
巧舌如簧	qiao she ru huang
自由自在	zi you zi zai
一败涂地	yi bai tu di
俯首贴耳	fu shou tie er
否极泰来	pi ji tai lai
因小失大	yin xiao shi da
馋涎欲滴	chan xian yu di
欺人太甚	qi ren tai shen
成家立业	cheng jia li yie
情深义重	qing shen yi zhong
一模一样	yi mo yi yang
强加于人	qiang jia yu ren
以点带面	yi dian dai mian
按步就班	an bu jiu ban
携手并肩	xie shou bing jian
自学成才	zi xue cheng cai
毁于一旦	hui yu yi dan
跋山涉水	ba shan she shui
白璧无瑕	bai bi wu xia
一箭双雕	yi jian shuang diao
力不从心	li bu cong xin
纷纷扬扬	fen fen yang yang
目空一切	mu kong yi qie
留恋不舍	liu lian bu she
力所能及	li suo neng ji
与时俱进	yu shi ju jin
六神无主	liu shen wu zhu
调虎离山	diao hu li shan
空空如也	kong kong ru ye
胆小如鼠	dan xiao ru shu
不欢而散	bu huan er san
如履薄冰	ru lu bo bing
心灰意冷	xin hui yi leng
不可限量	bu ke xian liang
面目一新	mian mu yi xin
词不达意	ci bu da yi
有所作为	you suo zuo wei
知难而进	zhi nan er jin
功成名就	gong cheng ming jiu
玩物丧志	wan wu sang zhi
销声匿迹	xiao sheng ni ji
鼎力相助	ding li xiang zhu
