一马当先	yi ma dang xian
一鸣惊人	yi ming jing ren
一鼓作气	yi gu zuo qi
一鼻子灰	yi bi zi hui
七七八八	qi qi ba ba
七上八下	qi shang ba xia
七嘴八舌	qi zui ba she
七弯八拐	qi wan ba guai
七情六欲	qi qing liu yu
七手八脚	qi shou ba jiao
七扭八歪	qi niu ba wai
七拉八扯	qi la ba che
七拼八凑	qi pin ba cou
七步成诗	qi bu cheng shi
七歪八扭	qi wai ba niu
七窍生烟	qi qiao sheng yan
七老八十	qi lao ba shi
七零八落	qi ling ba luo
七颠八倒	qi dian ba dao
万丈深渊	wan zhang shen yuan
万不得已	wan bu de yi
万世流芳	wan shi liu fang
万事亨通	wan shi heng tong
万事大吉	wan shi da ji
万事如意	wan shi ru yi
万人空巷	wan ren kong xiang
万众一心	wan zhong yi xin
万全之策	wan quan zhi ce
万劫不复	wan jie bu fu
万古不变	wan gu bu bian
万古流芳	wan gu liu fang
万古长青	wan gu chang qing
万家灯火	wan jia deng huo
万念俱灰	wan nian ju hui
万无一失	wan wu yi shi
万死不辞	wan si bu ci
万水千山	wan shui qian shan
万箭穿心	wan jian chuan xin
万籁俱寂	wan lai ju ji
万籁俱静	wan lai ju jing
万籁无声	wan lai wu sheng
万紫千红	wan zi qian hong
万般无奈	wan ban wu nai
万象更新	wan xiang geng xin
万贯家财	wan guan jia cai
万里无云	wan li wu yun
万里长城	wan li chang cheng
万里长征	wan li chang zheng
万马奔腾	wan ma ben teng
三三两两	san san liang liang
三五成群	san wu cheng qun
三人成虎	san ren cheng hu
三令五申	san ling wu shen
三位一体	san wei yi ti
三六九等	san liu jiu deng
三十而立	san shi er li
三天两头	san tian liang tou
三头六臂	san tou liu bi
三妻四妾	san qi si qie
三姑六婆	san gu liu po
三山五岳	san shan wu yue
三年五载	san nian wu zai
三心二意	san xin er yi
三思而行	san si er xing
三教九流	san jiao jiu liu
三更半夜	san geng ban ye
三生有幸	san sheng you xing
三番两次	san fan liang ci
三番五次	san fan wu ci
三省吾身	san xing wu shen
三缄其口	san jian qi kou
三言两语	san yan liang yu
三足鼎立	san zu ding li
三长两短	san chang liang duan
三阳开泰	san yang kai tai
三顾茅庐	san gu mao lu
三顾草庐	san gu cao lu
上上下下	shang shang xia xia
上下一心	shang xia yi xin
上下打量	shang xia da liang
上吐下泻	shang tu xia xie
上善若水	shang shan ruo shui
上天入地	shang tian ru di
上当受骗	shang dang shou pian
上情下达	shang qing xia da
上梁不正	shang liang bu zheng
上窜下跳	shang cuan xia tiao
上行下效	shang xing xia xiao
上蹿下跳	shang cuan xia tiao
下不为例	xia bu wei li
下不了台	xia bu le tai
下不来台	xia bu lai tai
下情上达	xia qing shang da
下笔成章	xia bi cheng zhang
下落不明	xia luo bu ming
下逐客令	xia zhu ke ling
下里巴人	xia li ba ren
下马看花	xia ma kan hua
不一而足	bu yi er zu
不三不四	bu san bu si
不上不下	bu shang bu xia
不义之财	bu yi zhi cai
不乏先例	bu fa xian li
不乏其人	bu fa qi ren
不了了之	bu liao liao zhi
不二法门	bu er fa men
不亢不卑	bu kang bu bei
不亦乐乎	bu yi le hu
不仁不义	bu ren bu yi
不以为奇	bu yi wei qi
不以为意	bu yi wei yi
不以为然	bu yi wei ran
不以为耻	bu yi wei chi
不伦不类	bu lun bu lei
不依不饶	bu yi bu rao
不修边幅	bu xiu bian fu
不值一钱	bu zhi yi qian
不假思索	bu jia si suo
不偏不倚	bu pian bu yi
不共戴天	bu gong dai tian
不关痛痒	bu guan tong yang
不冷不热	bu leng bu re
不出所料	bu chu suo liao
不分上下	bu fen shang xia
不分主次	bu fen zhu ci
不分伯仲	bu fen bo zhong
不分彼此	bu fen bi ci
不分皂白	bu fen zao bai
不分胜负	bu fen sheng fu
不分轻重	bu fen qing zhong
不分高下	bu fen gao xia
不切实际	bu qie shi ji
不加思索	bu jia si suo
不务正业	bu wu zheng ye
不动声色	bu dong sheng se
不劳而获	bu lao er huo
不卑不亢	bu bei bu kang
不即不离	bu ji bu li
不厌其烦	bu yan qi fan
不厌其详	bu yan qi xiang
不可一世	bu ke yi shi
不可企及	bu ke qi ji
不可估量	bu ke gu liang
不可侵犯	bu ke qin fan
不可偏废	bu ke pian fei
不可分割	bu ke fen ge
不可动摇	bu ke dong yao
不可名状	bu ke ming zhuang
不可告人	bu ke gao ren
不可多得	bu ke duo de
不可开交	bu ke kai jiao
不可思议	bu ke si yi
不可抗拒	bu ke kang ju
不可捉摸	bu ke zhuo mo
不可收拾	bu ke shou shi
不可救药	bu ke jiu yao
不可理喻	bu ke li yu
不可磨灭	bu ke mo mie
不可终日	bu ke zhong ri
不可缺少	bu ke que shao
不可胜数	bu ke sheng shu
不可言传	bu ke yan chuan
不可言喻	bu ke yan yu
不可轻视	bu ke qing shi
不可辩驳	bu ke bian bo
不可逾越	bu ke yu yue
不可避免	bu ke bi mian
不可限量	bu ke xian liang
不可饶恕	bu ke rao shu
不合时宜	bu he shi yi
不同凡响	bu tong fan xiang
不吐不快	bu tu bu kuai
不吝指教	bu lin zhi jiao
不吝赐教	bu lin ci jiao
不咸不淡	bu xian bu dan
不在话下	bu zai hua xia
不堪一击	bu kan yi ji
不堪入目	bu kan ru mu
不堪入耳	bu kan ru er
不堪回首	bu kan hui shou
不堪设想	bu kan she xiang
不声不响	bu sheng bu xiang
不失时机	bu shi shi ji
不好意思	bu hao yi si
不孝之子	bu xiao zhi zi
不学无术	bu xue wu shu
不宣而战	bu xuan er zhan
不容争辩	bu rong zheng bian
不容分说	bu rong fen shuo
不容置疑	bu rong zhi yi
不容置辩	bu rong zhi bian
不寒而栗	bu han er li
不屈不挠	bu qu bu nao
不屑一顾	bu xie yi gu
不屑置辩	bu xie zhi bian
不干不净	bu gan bu jing
不平则鸣	bu ping ze ming
不徇私情	bu xun si qing
不得人心	bu de ren xin
不得善终	bu de shan zhong
不得而知	bu de er zhi
不得要领	bu de yao ling
不念旧情	bu nian jiu qing
不怀好意	bu huai hao yi
不惑之年	bu huo zhi nian
不惜一切	bu xi yi qie
不惜代价	bu xi dai jia
不惜工本	bu xi gong ben
不惜血本	bu xi xue ben
不慌不忙	bu huang bu mang
不懂装懂	bu dong zhuang dong
不成体统	bu cheng ti tong
不成方圆	bu cheng fang yuan
不成气候	bu cheng qi hou
不打自招	bu da zi zhao
不折不扣	bu zhe bu kou
不拘一格	bu ju yi ge
不拘小节	bu ju xiao jie
不择手段	bu ze shou duan
不攻自破	bu gong zi po
不敢苟同	bu gan gou tong
不敢高攀	bu gan gao pan
不时之需	bu shi zhi xu
不明不白	bu ming bu bai
不明事理	bu ming shi li
不明真相	bu ming zhen xiang
不服水土	bu fu shui tu
不期而遇	bu qi er yu
不欢而散	bu huan er san
不正之风	bu zheng zhi feng
不毛之地	bu mao zhi di
不求甚解	bu qiu shen jie
不治之症	bu zhi zhi zheng
不法之徒	bu fa zhi tu
不清不白	bu qing bu bai
不理不睬	bu li bu cai
不甘后人	bu gan hou ren
不甘寂寞	bu gan ji mo
不甘示弱	bu gan shi ruo
不由分说	bu you fen shuo
不由自主	bu you zi zhu
不留余地	bu liu yu di
不留痕迹	bu liu hen ji
不疾不徐	bu ji bu xu
不痛不痒	bu tong bu yang
不瘟不火	bu wen bu huo
不白之冤	bu bai zhi yuan
不相上下	bu xiang shang xia
不省人事	bu xing ren shi
不眠之夜	bu mian zhi ye
不着边际	bu zhuo bian ji
不知不觉	bu zhi bu jue
不知去向	bu zhi qu xiang
不知好歹	bu zhi hao dai
不知底细	bu zhi di xi
不知所云	bu zhi suo yun
不知所以	bu zhi suo yi
不知所措	bu zhi suo cuo
不知所终	bu zhi suo zhong
不知死活	bu zhi si huo
不知深浅	bu zhi shen qian
不知轻重	bu zhi qing zhong
不知进退	bu zhi jin tui
不破不立	bu puo bu li
不祥之兆	bu xiang zhi zhao
不管不顾	bu guan bu gu
不紧不慢	bu jin bu man
不约而同	bu yue er tong
不绝于耳	bu jue yu er
不绝如缕	bu jue ru lu
不置可否	bu zhi ke fou
不翼而飞	bu yi er fei
不耻下问	bu chi xia wen
不肖子孙	bu xiao zi sun
不胜其烦	bu sheng qi fan
不胜枚举	bu sheng mei ju
不胫而走	bu jing er zou
不能自已	bu neng zi yi
不能自拔	bu neng zi ba
不自量力	bu zi liang li
